rank,content_hash_id,priority_score,action,reason_code,days_since_last_update,impressions_30d,users_30d,ctr,avg_position
5677,content_03e80711b62809da,0.6660677832153434,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,140,0,0.0,31.90105004122861
5678,content_59bbde673fd5cec2,0.6660422746005106,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,189,0,0.0,34.781204906204906
5679,content_120a5924e0540d52,0.6660094609509108,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,181,0,0.0,33.08987455197133
5680,content_bdd271697785602b,0.6660078978131103,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,1,3228,26,0.0037174721189591076,16.267859853493473
5681,content_562fe4b6168e3e38,0.6659982700567031,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,975,13,0.0020512820512820513,16.532892865614937
5682,content_704387bf7bf6e41f,0.6659868090839186,REVIEW,VISIBLE_STALE_LOW_CTR_LOW_POSITION,125,733,2,0.002728512960436562,53.11344650483215
5683,content_7b0df14b6ae0b537,0.6659514669335139,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,744,9,0.0013440860215053765,26.15119396645923
5684,content_bb8d984eceb3f9a0,0.6659074793994781,REVIEW,VISIBLE_LOW_CTR,4,12553,42,0.0033458137497012668,5.548901108461757
5685,content_4d2786b2831fb8bb,0.6658609457047099,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,230,0,0.0,53.386943343394954
5686,content_cb05fbee54d0a4d6,0.6658557431649966,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,131,0,0.0,25.392614569338708
5687,content_c4db5d76dc09f423,0.6658110558871242,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,135,0,0.0,32.02166003188731
5688,content_79b61512984892b6,0.6658076953508433,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,3726,1,0.00026838432635534085,39.16635749219146
5689,content_ad74e9fdf05446e4,0.6657980780301032,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,1069,4,0.0,32.62271396832937
5690,content_a4a8667aa2ae5164,0.6657904052229907,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,1947,7,0.0025680534155110425,12.166784424245497
5691,content_c614cecf4ea5e77b,0.6657849846342274,REVIEW,VISIBLE_STALE_LOW_CTR_LOW_POSITION,125,342,1,0.0029239766081871343,18.70162365736619
5692,content_18992aa32ab55c61,0.6657845618199476,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,376,7,0.0,22.347032920034618
5693,content_6ad6b98671978801,0.6657631724601674,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,106,0,0.0,19.75583333333333
5694,content_1da29d9d13ce6578,0.6657532110916435,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,461,6,0.0,53.968587339378026
